`id`,`url`,`name`,`description`,`domain`
979207,https://api.github.com/repos/everpeace/ml-examples-by-scalala,ml-examples-by-scalala,Machine Learning Algorithms Samples By Scalala,Computing methodologies
1001578,https://api.github.com/repos/OpenTSDB/opentsdb,opentsdb,A scalable, distributed Time Series Database.,Information systems
1008365,https://api.github.com/repos/middleman/middleman-syntax,middleman-syntax,Code syntax highlighting plugin via pygments for middleman,Human-centered computing
1009716,https://api.github.com/repos/double-z/chef-cookbooks,chef-cookbooks,what it is,Software and its engineering
1011413,https://api.github.com/repos/kayru/insightprofiler,insightprofiler,Simple instrumented thread profiler for Win32 C++ applications.,Applied computing
1015480,https://api.github.com/repos/tarcieri/red25519,red25519,A Ruby binding to the Ed25519 public-key signature system,Security and privacy
1017307,https://api.github.com/repos/epeli/node-clim,node-clim,Console.Log IMproved for Node.js,Applied computing
1025135,https://api.github.com/repos/iplanwebsites/mdesjardins,mdesjardins,source (fall 2011),Applied computing
1027466,https://api.github.com/repos/tommoor/crumble,crumble,Crumble makes it easy to create feature tours in your website or app.,Human-centered computing
1031791,https://api.github.com/repos/vicapow/fav,fav,Parse favicon ICO files in node.js,Applied computing
1036996,https://api.github.com/repos/software-project/scrum-pm,scrum-pm,Scrum PM is a plugin for Redmine ticket management system. It adds Scrum items like backlog, dashboard and others.,Applied computing
1059797,https://api.github.com/repos/karacas/imgLiquid,imgLiquid,jQuery plugin to resize images to fit in a container.,Human-centered computing
1078185,https://api.github.com/repos/rickerbh/PXSourceList,PXSourceList,Source List control for the Mac,Human-centered computing
1080519,https://api.github.com/repos/jgalo80/dozer,dozer,Dozer is a Java Bean to Java Bean mapper that recursively copies data from one object to another. ,Software and its engineering
1083125,https://api.github.com/repos/stephenmcd/linkedout,linkedout,Build PDF resumes with the LinkedIn API,Human-centered computing
1084208,https://api.github.com/repos/alcacoop/go-github-client,go-github-client,a package to integrate Github REST API in go applications,Software and its engineering
1084793,https://api.github.com/repos/srinivasarao549/interactive-banners,interactive-banners,A few html5 experiments using js/canvas to create interactive banners,Networks
1093294,https://api.github.com/repos/techwizrd/MangaFox-Download-Script,MangaFox-Download-Script,A script that lets you download mangas from mangafox.com,Information systems
1098117,https://api.github.com/repos/tumf/media,media,Media files for use in your GitHub integration projects,Software and its engineering
1099822,https://api.github.com/repos/tailhook/libxs,libxs,Crossroads I/O core library - NOTE we do not accept pull requests,Software and its engineering
1100704,https://api.github.com/repos/rvirding/leex,leex,Lexical analyzer generator for Erlang,Software and its engineering
1117036,https://api.github.com/repos/kachayev/talks,talks,Talks and materials from different conferences, meetings etc,General and reference
1124381,https://api.github.com/repos/ajryan/WinHaste,WinHaste,Windows commandline client for hastebin.com,Software and its engineering
1186739,https://api.github.com/repos/dpantic/SpasticNav,SpasticNav,This is a simple lava lamp style navigation menu plugin, built with jQuery.,Software and its engineering
1189471,https://api.github.com/repos/jerryjianjun/xvisor,xvisor,eXtensible Versatile hyperviSOR,Human-centered computing
1195142,https://api.github.com/repos/mafintosh/root,root,a lightweight prototypical middleware web framework,Networks
1214622,https://api.github.com/repos/davidm/lua-fish,lua-fish,Parses Lua to abstract syntax tree (AST) using LPeg.,Software and its engineering
1228020,https://api.github.com/repos/stefan-zh/Facebook-Connect-Plugin-CakePHP,Facebook-Connect-Plugin-CakePHP,Facebook Connect Plugin for CakePHP now supports CakePHP 2.0,Networks
1242075,https://api.github.com/repos/shirok/Gauche-makiki,Gauche-makiki,A simple multithreaded http server,Networks
1248826,https://api.github.com/repos/paaland/omxplayer,omxplayer,omxplayer,Software and its engineering
1261926,https://api.github.com/repos/benlinton/bash-slugify,bash-slugify,Command that converts filenames and directories to a web friendly format.,Networks
1270737,https://api.github.com/repos/rstudio/shiny,shiny,Easy interactive web applications with R,Networks
1303073,https://api.github.com/repos/pheuter/iphone-3.0-cookbook-,iphone-3.0-cookbook-,Sample Code,Software and its engineering
1328973,https://api.github.com/repos/coreyhaines/ShoppingCart,ShoppingCart,Sample application to show fast rails tests,Software and its engineering
1344179,https://api.github.com/repos/tildeio/rsvp.js,rsvp.js,A lightweight library that provides tools for organizing asynchronous code,Software and its engineering
1352199,https://api.github.com/repos/rebar/rebar,rebar,Erlang build tool that makes it easy to compile and test Erlang applications, port drivers and releases.,Software and its engineering
1354419,https://api.github.com/repos/dpp/lawyersongithub,lawyersongithub,A Telegram site for the people who are lawyers and also have GitHub accounts,Applied computing
1366256,https://api.github.com/repos/kikinteractive/app,app,Instant mobile web app creation,Networks
1367068,https://api.github.com/repos/jenkinsci/debian-package-builder-plugin,debian-package-builder-plugin,Jenkins plugin for debian package building,Software and its engineering
1367228,https://api.github.com/repos/Frege/frege,frege,Frege is a non-strict, pure functional programming language in the spirit of Haskell. Frege programs are compiled to Java and run in a JVM.,Software and its engineering
1372746,https://api.github.com/repos/gtaylor/python-colormath,python-colormath,A python module that abstracts common color math operations. For example, converting from CIE L*a*b to XYZ, or from RGB to CMYK,Human-centered computing
1381021,https://api.github.com/repos/gitlabhq/gitlab-ci,gitlab-ci,Continuous integration server for gitlabhq,Software and its engineering
1382032,https://api.github.com/repos/meetselva/fixed-table-rows-cols,fixed-table-rows-cols,Fixed Table Header and Columns,Information systems
1391701,https://api.github.com/repos/kevinlacotaco/yuidoc-bootstrap-theme,yuidoc-bootstrap-theme,A revamped yuidoc theme with bootstrap,Applied computing
1397125,https://api.github.com/repos/toffaletti/libguri,libguri,A very fast URI parser in C.,Networks
1397723,https://api.github.com/repos/killbill/killbill,killbill,Open source billing platform,Software and its engineering
1404659,https://api.github.com/repos/unconed/MathBox.js,MathBox.js,MathBox is a (work in progress) library for making presentation-quality math diagrams in WebGL.,Human-centered computing
1412018,https://api.github.com/repos/Nexmo/Verify,Verify,Simple service to verify phone numbers or provide 2nd factor authentication.,Human-centered computing
1414836,https://api.github.com/repos/whuhacker/Sitedossier-Crawler,Sitedossier-Crawler,Crawler for sitedossier.com,Networks
1416473,https://api.github.com/repos/mbostock/topojson,topojson,An extension to GeoJSON that encodes topology.,Software and its engineering
1432150,https://api.github.com/repos/idiot/unslider,Unslider,The simplest jQuery slider there is.,Software and its engineering
1434458,https://api.github.com/repos/pardom/ActiveAndroid,ActiveAndroid,Active record style SQLite persistence for Android,Information systems
1436875,https://api.github.com/repos/scouttyg/rollbackoncheckout,rollbackoncheckout,A git post-checkout hook to roll back any migrations made between branches,Software and its engineering
1437288,https://api.github.com/repos/davidstutz/bootstrap-multiselect,bootstrap-multiselect,JQuery multiselect plugin based on Twitter Bootstrap.,Software and its engineering
1438441,https://api.github.com/repos/rails-api/active_model_serializers,active_model_serializers,ActiveModel::Serializer implementation and Rails hooks,Software and its engineering
1449551,https://api.github.com/repos/zohmi/Aoe_BackendDefaultLanguage,Aoe_BackendDefaultLanguage,Set user specific backend language for Magento,Information systems
1453441,https://api.github.com/repos/rcode5/image-wysiwyg-sample,image-wysiwyg-sample,Sample Sinatra/TwitterBootstrap app with Bootstrap-wysihtml5 and custom image dialog,Networks
1457727,https://api.github.com/repos/amsul/pickadate.js,pickadate.js,lightweight jquery date selector with multi-language support,Software and its engineering
1471234,https://api.github.com/repos/iSECPartners/ssl-conservatory,ssl-conservatory,Sample SSL client code for correct endpoint validation.,Networks
1471568,https://api.github.com/repos/googollee/go-gcm,go-gcm,Go for GCM(Google Cloud Messaging) to push message to android device.,Networks
1474764,https://api.github.com/repos/jonathantneal/sanitize.css,sanitize.css,A modern replacement for CSS resets,Software and its engineering
1486549,https://api.github.com/repos/koalaman/shellcheck,shellcheck,ShellCheck, a shell script static analysis tool,Software and its engineering
1492346,https://api.github.com/repos/Tasatir/saaa,saaa,Proyecto de desarrollo en la nube,Networks
1500447,https://api.github.com/repos/siwapp/siwapp-sf2,siwapp-sf2,Online Invoice Management,Networks
1524373,https://api.github.com/repos/Collabinate/Collabinate,Collabinate,Activity Stream, Social Feed, Collaboration, and Microblogging Engine - An SDK for bringing collaborative functionality to any application,Human-centered computing
1526024,https://api.github.com/repos/id-Software/DOOM-3-BFG,DOOM-3-BFG,Doom 3 BFG Edition,Computing methodologies
1528221,https://api.github.com/repos/PrestaShop/PrestaShop,PrestaShop,PrestaShop offers a free, fully scalable, Open-source e-commerce solution.,Networks
1545229,https://api.github.com/repos/mafintosh/polo,polo,Polo is a zero configuration service discovery module written completely in Javascript.,Software and its engineering
1546988,https://api.github.com/repos/xoxco/awarejs,awarejs,Tookit for enabling reader aware design for your site.,Human-centered computing
1600439,https://api.github.com/repos/peschlowp/ForkJoin,ForkJoin,ForkJoinPool vs ThreadPoolExecutor benchmarks,Information systems
1607018,https://api.github.com/repos/id3/ID3v2.4,ID3v2.4,ID3 version 2.4 specification,Software and its engineering
1619676,https://api.github.com/repos/twitter/bookkeeper,bookkeeper,Twitter's fork of Apache BookKeeper (will push changes upstream eventually),Applied computing
1690743,https://api.github.com/repos/thinkpixellab/flatland,flatland,Flatland is a simple theme and accompanying color scheme for Sublime Text 2.,Human-centered computing
1698522,https://api.github.com/repos/skynetservices/skynet,skynet,Skynet is a framework for distributed services in Go.,Networks
1713442,https://api.github.com/repos/jenius/roots,roots,a toolbox for building simple, beautiful, and efficient products for the web,Networks
1749436,https://api.github.com/repos/icanzilb/JSONModel,JSONModel,Magical Data Modelling Framework for JSON. WARNING: This is a beta version, use on your own risk.,Information systems
1764042,https://api.github.com/repos/strangerstudios/pmpro-series,pmpro-series,"This is the \""drip feed content\"" module for Paid Memberships Pro.",Applied computing
1778841,https://api.github.com/repos/goodby/csv,csv,Goodby CSV is a high memory efficient flexible and extendable open-source CSV import/export library for PHP 5.3. 1. Memory Management Free  This library designed for memory unbreakable. It will not be accumulated in the memory whole rows. The importer rea,Information systems
1799111,https://api.github.com/repos/lukasz-kaniowski/chef-repo,chef-repo,A blank Chef repository - use as a base to build your own,Software and its engineering
1819251,https://api.github.com/repos/gelus/scrobMaster,scrobMaster,Master your scroll events.,Software and its engineering
1838125,https://api.github.com/repos/jnaqsh/nerdnews,nerdnews,a free and open source news web app that everyone can create news and create comments and so on.,Networks
1852141,https://api.github.com/repos/chad/turbulence,turbulence,Hopefully-meaningful metrics,Human-centered computing
1886159,https://api.github.com/repos/rirozizo/BlackICE,BlackICE,Hardware
1890840,https://api.github.com/repos/RestExpress/HyperExpress,HyperExpress,Experiments with Hypermedia concepts (HATEOAS) within RESTful services... simple concepts to enhance discoverability and usability of REST responses.,Networks
1891776,https://api.github.com/repos/andreareginato/redis-throttle,redis-throttle,Rack middleware for rate-limiting incoming HTTP requests configured to be used with Redis.,Networks
1892389,https://api.github.com/repos/csgillespie/poweRlaw,poweRlaw,This package implements both the discrete and continuous maximum likelihood estimators for fitting the power-law distribution to data. Additionally, a goodness-of-fit based approach is used to estimate the lower cutoff for the scaling region.,Information systems
1893164,https://api.github.com/repos/jasonlewis/expressive-date,expressive-date,A fluent extension to PHPs DateTime class.,Software and its engineering
1900934,https://api.github.com/repos/posativ/isso,isso,a lightweight Disqus alternative,Software and its engineering
1903462,https://api.github.com/repos/yui/ycssmin,ycssmin,Minimize CSS files from Node.js,Software and its engineering
1904790,https://api.github.com/repos/kiichi/AndroidJavasScript,AndroidJavasScript,Software and its engineering
1916255,https://api.github.com/repos/ahinz/GeoSlick,GeoSlick,Postgis extension for Slick,Software and its engineering
1918558,https://api.github.com/repos/lwe/whatthecommit,whatthecommit,Unoffical command line client for http://whatthecommit.com,General and reference
1927874,https://api.github.com/repos/jedireza/drywall,drywall,A website and user system for Node.js.,Networks
1927881,https://api.github.com/repos/TNG/boost-python-examples,boost-python-examples,Some examples for the use of boost::python,Software and its engineering
1949584,https://api.github.com/repos/ra9504/try_git,try_git,Software and its engineering
1961397,https://api.github.com/repos/sdelements/lets-chat,lets-chat,Self-hosted chat app for small teams,Human-centered computing
1964893,https://api.github.com/repos/lijon/AudioShareSDK,AudioShareSDK,Export soundfiles from your own app into the AudioShare app for iPhone, iPad and iPod touch.,Information systems
1965404,https://api.github.com/repos/ChimeraCoder/gojson,gojson,A simple command-line tool for manipulating JSON for use in developing Go code. ,Software and its engineering
1977847,https://api.github.com/repos/MobileOrg/mobileorg,mobileorg,MobileOrg iPhone App,Software and its engineering
1989790,https://api.github.com/repos/garrynewman/garrysmod,garrysmod,Human-centered computing
1991636,https://api.github.com/repos/wout/svg.js,svg.js,A lightweight library for manipulating and animating SVG,Human-centered computing
2001763,https://api.github.com/repos/istvan-antal/CutyCapt,CutyCapt,Fork of the original CutyCapt by BjÌ¦rn HÌ¦hrmann http://cutycapt.sourceforge.net/,Information systems
2020393,https://api.github.com/repos/TheNameIsNigel/android_device_samsung_d2vzw,android_device_samsung_d2vzw,Device configuration for Samsung Galaxy S3 (Verizon variant),Software and its engineering
2051124,https://api.github.com/repos/jurgens/calendar_helper,calendar_helper,Calendar-generating plugin for Ruby,Software and its engineering
2145058,https://api.github.com/repos/scosman/Backbone.CachedModel,Backbone.CachedModel,A localstorage cache for Backbone.js models,Information systems
2146436,https://api.github.com/repos/tobias/credit_card_validator,credit_card_validator,A ruby gem for validating credit cards (a port of Thomas Fuchs' creditcard_js),Security and privacy
2201979,https://api.github.com/repos/craftedpixelz/jQInstaPics,jQInstaPics,Showcase your Instagram photos using jQuery,Human-centered computing
2206890,https://api.github.com/repos/rustle/LLDBStackStoreFetch,LLDBStackStoreFetch,LLDB script for arbitrary stack trace storage and retrieval,Information systems
2207463,https://api.github.com/repos/pavelfatin/projecteuler,projecteuler,Concise functional solutions to the first 33 Project Euler problems.,Mathematics of computation
2213273,https://api.github.com/repos/mvdkleijn/tinymce,tinymce,A TinyMCE plugin for Wolf CMS,Software and its engineering
2229635,https://api.github.com/repos/nrocy/processing-openkinect,processing-openkinect,Processing library for OpenKinect,Software and its engineering
2241376,https://api.github.com/repos/progschj/ThreadPool,ThreadPool,A simple C++11 Thread Pool implementation,Software and its engineering
2244312,https://api.github.com/repos/dominictarr/level-trigger,level-trigger,triggers for levelup,Software and its engineering
2244481,https://api.github.com/repos/agoragames/leaderboard-coffeescript,leaderboard-coffeescript,Leaderboards backed by Redis in CoffeeScript,Software and its engineering
2246039,https://api.github.com/repos/Ximik/Laspyt,Laspyt,Last.fm scrobbler,Human-centered computing
2249262,https://api.github.com/repos/matteoroversi/svbtle-tumblr-theme,svbtle-tumblr-theme,A Tumblr theme inspired by svbtle.com,Human-centered computing
2250690,https://api.github.com/repos/moul/advanced-ssh-config,advanced-ssh-config,An alternative ssh configuration file with extended options,Security and privacy
2252680,https://api.github.com/repos/mmackh/MAImagePickerController-of-InstaPDF,MAImagePickerController-of-InstaPDF,Fully customizable UIImagePickerController replacement with flexible cropping, filters, perspective correction, rotation etc.,Human-centered computing
2255699,https://api.github.com/repos/uarun/vim-protobuf,vim-protobuf,Vim syntax highlighting for Google's Protocol Buffers,Human-centered computing
2257096,https://api.github.com/repos/zordius/lightncandy,lightncandy,An extremely fast PHP implementation of handlebars ( http://handlebarsjs.com/ ) and mustache ( http://mustache.github.io/ ),,Networks
2257240,https://api.github.com/repos/openssl/openssl,openssl,Security and privacy
2266052,https://api.github.com/repos/andrenarchy/krypy,krypy,Krylov subspace methods package for Python,Mathematics of computation
2281243,https://api.github.com/repos/exaexa/codecrypt,codecrypt,Post-quantum cryptography tool,Security and privacy
2281819,https://api.github.com/repos/oklai/koala,koala,a compiler for less,sass,and coffee script.,Theory of Computation
2294498,https://api.github.com/repos/lisa-lab/pylearn2,pylearn2,A Machine Learning library based on Theano,Computing methodologies
2312008,https://api.github.com/repos/acjordan2/Sper.gs,Sper.gs,Message Board and Content Management System,Software and its engineering
2315431,https://api.github.com/repos/AricwithanA/DOMLauncher,DOMLauncher,Cordova Powered Android App Launcher Replacement,Human-centered computing
2337743,https://api.github.com/repos/gnotaras/django-powerdns-manager,django-powerdns-manager,Networks
2340614,https://api.github.com/repos/vkadam/grunt-jsbeautifier,grunt-jsbeautifier,Beautify js, css, html and json files using Grunt and https://github.com/einars/js-beautify,Human-centered computing
2345204,https://api.github.com/repos/aq1018/active_model-better_errors,active_model-better_errors,API consumable error messages with ActiveModel::Errors drop-in compatibility.,Networks
2363619,https://api.github.com/repos/ksuther/KSImageNamed-Xcode,KSImageNamed-Xcode,Xcode plug-in that provides autocomplete for imageNamed: calls,Human-centered computing
2363758,https://api.github.com/repos/prometheus/prometheus,prometheus,Bedecke deinen Himmel, Zeus!  A new kid is in town.,Information systems
2365356,https://api.github.com/repos/xiongbo/rails_standards,rails_standards,A developer guide to the conventions I follow when creating Rails sites,Applied computing
2372421,https://api.github.com/repos/PanfilovDenis/masterit,masterit,"_£„à_µ_±__„Ü__ ___µ__„â„Û \""_Ï_¡„„â_µ„Û _÷_¢\"" _£_È_Ò_¢_£",Empty
2375290,https://api.github.com/repos/tobithiel/Queue,Queue,A small thread-safe queue written in C,Software and its engineering
2381629,https://api.github.com/repos/milesj/Utility,Utility,A CakePHP plugin for common utility classes.,Software and its engineering
2381679,https://api.github.com/repos/starseeker/cassowary,cassowary,A Constraint Solving Toolkit,Software and its engineering
2389915,https://api.github.com/repos/goldfire/howler.js,howler.js,Javascript audio library for the modern web.,Networks
2404370,https://api.github.com/repos/John-Lluch/SWRevealViewController,SWRevealViewController,A UIViewController subclass for presenting two view controllers inspired in the FaceBook app, done right !,Human-centered computing
2409137,https://api.github.com/repos/christopherpow/nes-test-roms,nes-test-roms,Collection of test ROMs for testing a NES emulator.,Applied computing
2417208,https://api.github.com/repos/warfares/pretty-json,pretty-json,Simple library to render/format a JS obj to an HTML view.,Networks
2421460,https://api.github.com/repos/xuanye/xgcalendar,xgcalendar,¾«ÈŒ_¬¾Ñ´Œ_ ¾_¤ŠÈ¦,Software and its engineering
2422498,https://api.github.com/repos/sappenin/objectify-utils,objectify-utils,Utilities and Add-ons for Objectify,Software and its engineering
2434520,https://api.github.com/repos/jordiboehmelopez/ASIHTTPRequest.framework,ASIHTTPRequest.framework,ASIHTTPRequest ready to be compiled as binary framework component,Networks
2445228,https://api.github.com/repos/ThomasAlexandre/slickcrudsample,slickcrudsample,A sample CRUD application for the Play 2.1 Framework using SLICK as its database access library,Applied computing
2447212,https://api.github.com/repos/darkoperator/Posh-SSH,Posh-SSH,Security and privacy
2467228,https://api.github.com/repos/kctansey/try_git,try_git,Empty
2476937,https://api.github.com/repos/madrobby/zaru,zaru,Filename sanitization for Ruby,Security and privacy
2480777,https://api.github.com/repos/simonmonk/monk_raspberrypi,monk_raspberrypi,Raspberry Pi code by Simon Monk for the book Programming Raspberry Pi: Getting Started with Python,Applied computing
2513836,https://api.github.com/repos/zonble/MOEDict,MOEDict,3du.tw Chinese dictionary for iOS.,Human-centered computing
2535892,https://api.github.com/repos/xcore/sc_crypto,sc_crypto,Cryptographic algorithms for the Xcore,Security and privacy
2572814,https://api.github.com/repos/qirtaiba/rc-vacation,rc-vacation,Vacation plugin for RoundCube Webmail,Human-centered computing
2601235,https://api.github.com/repos/jaydee3/CodeSnippets,CodeSnippets,Software and its engineering
2624458,https://api.github.com/repos/ysumatta/my_own_joomla,my_own_joomla,my version of owncloud for my own usage,Networks
2660015,https://api.github.com/repos/hfcorriez/php-eventemitter,php-eventemitter,Simple and Useful Event Emitter,Software and its engineering
2661903,https://api.github.com/repos/interconnectit/my-eyes-are-up-here,my-eyes-are-up-here,Face detection for generating cropped thumbnails in WordPress. Avoiding automatically generated crotch shots since 2013.,Human-centered computing
2662867,https://api.github.com/repos/Netflix/gradle-template,gradle-template,Software and its engineering
2702530,https://api.github.com/repos/linux-china/jenv,jenv,Java Version Manager,Software and its engineering
2709309,https://api.github.com/repos/dead-horse/reader,reader,¾ÎäÁÎøÈŒÐŠÈÈ¾ãŒ_¤¾ÐàŠÈ¦,Software and its engineering
2719572,https://api.github.com/repos/ecomfe/esl,esl,ecomfe standard loader,Software and its engineering
2728868,https://api.github.com/repos/JeffreyWay/Laravel-4-Generators,Laravel-4-Generators,Rapidly speed up your Laravel 4 workflow with generators,Human-centered computing
2739871,https://api.github.com/repos/fragmer/fNbt,fNbt,A continuation of libnbt project, originally by Erik Davidson (aphistic). A C# library for reading and writing Named Binary Tag (NBT) format files.,Software and its engineering
2749609,https://api.github.com/repos/mysterioustrousers/MTFittedScrollView,MTFittedScrollView,A UIScrollView subclass that resizes itself to fit around its content.,Human-centered computing
2752178,https://api.github.com/repos/joelittlejohn/jsonschema2pojo,jsonschema2pojo,Mirror for http://jsonschema2pojo.googlecode.com,Networks
2768008,https://api.github.com/repos/tpierrain/NFluent,NFluent,Smooth your .NET TDD experience with NFluent! NFluent provides some extension methods for a fluent .NET TDD experience based on simple Assert.That(bool condition) statements. NFluent aims your tests to be fluent to write (with auto completion support) but,Networks
2771181,https://api.github.com/repos/paytunia/api-documentation,api-documentation,Documentation for the Paytunia API v1,Applied computing
2787691,https://api.github.com/repos/blob8108/scratchblocks2,scratchblocks2,Render Scratch blocks code to HTML. ,Networks
2796362,https://api.github.com/repos/runtimerevolution/survey,survey,Survey is a Ruby Engine that brings quizzes, surveys and contests into your Rails application.,Information systems
2798946,https://api.github.com/repos/bethebunny/powermate,powermate,A small python framework for scripting interactions with the Griffin Powermate,Software and its engineering
2801361,https://api.github.com/repos/mtkopone/zhain,zhain,For - you know - zhaining things...,Software and its engineering
2807863,https://api.github.com/repos/ttezel/unio,unio,One REST API Client for All,Networks
2814268,https://api.github.com/repos/awaytools/AwayBuilder,AwayBuilder,Software and its engineering
2835325,https://api.github.com/repos/kitchenplan/chef-osxdefaults,chef-osxdefaults,A cookbook, that combines a lot of settings to tweak your osx install. It is based on Mathias Bynens' dotfiles repo but tailored to more general needs.,Human-centered computing
2847808,https://api.github.com/repos/angular-ui/ui-router,ui-router,UI-Router for Nested Routing by the AngularUI Team!,Networks
2862294,https://api.github.com/repos/karlgoldstein/grunt-html2js,grunt-html2js,Grunt plugin for converting AngularJS templates to JavaScript,Software and its engineering
2862977,https://api.github.com/repos/klmr/named-operator,named-operator,Named operators for C++,Software and its engineering
2873371,https://api.github.com/repos/whitebeatle/amalgam,amalgam,Multiple search engines integrated into one,Information systems
2874293,https://api.github.com/repos/chavaone/coursera-crypto-scripts,coursera-crypto-scripts,Coursera Cryptography Course Scripts,Security and privacy
2875658,https://api.github.com/repos/lkwdwrd/git-deploy,git-deploy,Git Deploy Script,Software and its engineering
2886485,https://api.github.com/repos/unrar/solvator,solvator,Solvator is a free math aplications, ideal to solve your mechanic homework problems!,Mathematics of computation
2889040,https://api.github.com/repos/hoaproject/Websocket,Websocket,The Hoa\Websocket library.,Networks
2909754,https://api.github.com/repos/elpaso/energia-makefile,energia-makefile,A makefile for Energia libraries on MSP430 ,Software and its engineering
2922319,https://api.github.com/repos/alibaba/fastjson,fastjson,Fast JSON Processor,Software and its engineering
2922620,https://api.github.com/repos/cenalulu/mysql-mmm,mysql-mmm,"Enhanced MySQL Multi-Master-Manager based on Google's \""mysql-mmm 2.2.1\"". Since Goolge's mysql-mmm has not been updated for a long time, and still has a number of bug and points of improvement, So I create this fork to make further improvement.",Information systems
2923558,https://api.github.com/repos/alibaba/oceanbase,oceanbase,Information systems
2940997,https://api.github.com/repos/tpope/heroku-pgbackups-pull,heroku-pgbackups-pull,Import a Heroku PostgreSQL backup into your Rails development database,Information systems
2945321,https://api.github.com/repos/pld-linux/libdsk,libdsk,libdsk library,Software and its engineering
2978560,https://api.github.com/repos/howardabrams/dot-files,dot-files,Startup scripts for Zsh and other dot files. Placed here so that I can easily share them between my devices.,Human-centered computing
2987164,https://api.github.com/repos/shalotelli/form_builder,form_builder,Form builder created with jQuery & Bootstrap,Networks
3004769,https://api.github.com/repos/ezavaleta/toys,toys,Personal Coding Lab,Software and its engineering
3018979,https://api.github.com/repos/melvinsembrano/cms-fortress,cms-fortress,Comfortable Mexican Sofa (CMS) - Users and Role Management extension,Human-centered computing
3036595,https://api.github.com/repos/mattetti/pluzzdl,pluzzdl,My own fork of pluzzdl,Networks
3036835,https://api.github.com/repos/wlee88/review-site,threepresidents,"A website purely for the comments received for the super iPhase 3DS album \""Three presents\""",Networks
"3040840""",https://api.github.com/repos/jw84/django-mailer,django-mailer,mail queuing and management for the Django web framework,Networks
3048906,https://api.github.com/repos/salviati/go-qt5,go-qt5,qt5 bindings for go,Software and its engineering
3063823,https://api.github.com/repos/codefollower/Lealone,Lealone,Šü¼HBase¾Š_ÝŠüÛŠü»Œö ŒüÄŒ_SQLŒ_¥¾Ò_•_ÎŒ¡ø¥Œ¡ BigTable(HBase)ŒÕÎ RDBMS (H2¾¥¡¾¨Œ¼Ò) ÈÒŒö_ãŽÁ_Ý¨,Information systems
3063870,https://api.github.com/repos/kant003/generales,generales,Empty
3067095,https://api.github.com/repos/oldratlee/useful-shells,useful-shells,Software and its engineering
3095960,https://api.github.com/repos/RobbyWauters/QuizTools,QuizTools,Helpful tools for creating and executing a quiz with a bunch of people.,Human-centered computing
3117680,https://api.github.com/repos/SteamDatabase/SteamTracking,SteamTracking,Tracking things, so you don't have to,Software and its engineering
3119886,https://api.github.com/repos/sevenphp/book,book,Œ__Š_ÊÂÓ¨¡,Empty
3122758,https://api.github.com/repos/balderdashy/sails-twitter,sails-twitter,Twitter adapter for Sails.js,Networks
3136825,https://api.github.com/repos/thelia/thelia,thelia,Thelia is an open source tool for creating e-business websites and managing online content. Repo containing the new major version (v2),Networks
3163883,https://api.github.com/repos/notcoffeetable/node-win32ole,node-win32ole,Asynchronous, non-blocking win32ole bindings for node.js .,Networks
3168742,https://api.github.com/repos/enovance/puppet-ceph,puppet-ceph,Information systems
3173347,https://api.github.com/repos/dimaxweb/jquery-paged-scroll,jquery-paged-scroll,jQuery plugin for scrolling paged result set.  ,Human-centered computing
3180895,https://api.github.com/repos/polyrabbit/http-booster,http-booster,ŽààÓ¬Œ__¼À¬Ü_ã¾µ¤öŒª¬Œ_ÊŽÛÙŠÈ£ •_ÎŒ¡ ¾ÊÁŒÝ__ÔŒü_Œ¨_Œö©Ó¬Œö¡100%,Networks
3201792,https://api.github.com/repos/deivid-rodriguez/byebug,byebug,Debugger for Ruby 2.0,Software and its engineering
3205751,https://api.github.com/repos/Poil/collectd-HP_P2000,collectd-HP_P2000,Collecter for HP P2000 SAN (and other clone like DotHill AssuredSAN ),Networks
3213902,https://api.github.com/repos/viljamis/responsive-nav.js,responsive-nav.js,Responsive navigation plugin without library dependencies and with fast touch screen support.,Human-centered computing
3224446,https://api.github.com/repos/pombredanne/django-autocompleter,django-autocompleter,Redis-backed autocomplete for Django models,Software and its engineering
3231556,https://api.github.com/repos/injaon/umbook,umbook,"umbook is  project for the subject \""ProgramaciÌ_n II\"" in \""Universidad de Mendoza\",Applied computing
3236423,https://api.github.com/repos/AVGP/RSSteroids,RSSteroids,Meteor.js based RSS reader. Responsive. Reactive. Juicy.,Networks
3250844,https://api.github.com/repos/BarrelStrength/Craft-Master,Craft-Master,A custom, multi-environment setup for Craft CMS.,Human-centered computing
3276139,https://api.github.com/repos/staticfile/static,static,Œ_Û¾Ó_Žª¾Û¾ÐàŠÈ¦ - Šü¼Œ_Û¾¼Œ¼Ò¬_Œ¨_‹ÛŒÀÇŽÛÙ_ãŒÉ«_ CDN ¾ÏŒ_Á,Empty
3283518,https://api.github.com/repos/wess/Cargo,Cargo,Simplified and easy to use key/value storage framework for iOS,Information systems
3286419,https://api.github.com/repos/entomb/dragonchan,dragonchan,A prototype script to transform any /b/ thread into a dragon slaying match. ,Networks
3287419,https://api.github.com/repos/albertxing/brackets-tabs,brackets-tabs,Shows tabs in place of file name toolbar when sidebar is hidden,Human-centered computing
3290625,https://api.github.com/repos/edx/configuration,configuration,Software and its engineering
3296518,https://api.github.com/repos/manuels/unix-toolbox.js-exact-image,unix-toolbox.js-exact-image,ExactImage's bardecode ported to JS,Human-centered computing
