`id`;`domain`
14505051;Software and its engineering
14515342;Software and its engineering
14543063;Applied computing
14545279;Networks
14627410;Software and its engineering
14666817;Applied computing
14682420;Applied computing
14698825;General and reference
14737226;Information systems
14756103;Empty
14771481;Software and its engineering
14773650;Applied computing
14782669;Human-centered computing
14806250;Software and its engineering
14846150;Software and its engineering
14847736;General and reference
14848865;Information systems
14880605;Software and its engineering
14897153;Security and privacy
14910241;Information systems
14914675;Software and its engineering
14922006;Applied computing
14957066;Software and its engineering
14959628;Software and its engineering
14989257;Software and its engineering
14995115;Human-centered computing
15017277;Applied computing
15022227;Software and its engineering
15080529;Software and its engineering
15082688;Empty
15093986;Software and its engineering
15125364;Human-centered computing
15134766;Applied computing
15195328;Applied computing
15205203;Empty
15205847;Software and its engineering
15228302;Human-centered computing
15239162;Applied computing
15246185;Human-centered computing
15252261;Empty
15285403;Applied computing
15363005;Applied computing
15384846;Empty
15393494;Human-centered computing
15417633;Human-centered computing
15426725;Empty
15471020;Applied computing
15485606;Empty
15500909;Software and its engineering
15509641;Human-centered computing
15525750;Software and its engineering
15531805;Networks
15536213;Human-centered computing
15536505;Software and its engineering
15548976;Applied computing
15563546;Applied computing
15573016;Information systems
15592045;Software and its engineering
15612970;Human-centered computing
15623292;Computing methodologies
15627284;Software and its engineering
15646653;Information systems
15669545;Software and its engineering
15676204;Human-centered computing
15708243;Information systems
15708458;Information systems
15710174;Software and its engineering
15718946;Software and its engineering
15729314;Applied computing
15743643;Applied computing
15753913;Information systems
15759579;Software and its engineering
15778405;Software and its engineering
15793721;Software and its engineering
15794603;Software and its engineering
15867274;Human-centered computing
15915198;Empty
15956179;Human-centered computing
15962985;Information systems
15998060;Software and its engineering
16020916;Software and its engineering
16030648;Human-centered computing
16077481;Networks
16116800;Information systems
16154948;Networks
16174927;Applied computing
16195282;Software and its engineering
16219560;Software and its engineering
16224803;Applied computing
16230400;General and reference
16290623;Software and its engineering
16307010;Software and its engineering
16310355;Software and its engineering
16363717;Empty
16409333;Software and its engineering
16415741;Software and its engineering
16423884;General and reference
16428381;Human-centered computing
16534152;Applied computing
16550843;Software and its engineering
16569855;Empty
16611808;Human-centered computing
16622735;Applied computing
16638704;Information systems
16640920;Software and its engineering
16647116;Software and its engineering
16691009;Not found
16717734;Software and its engineering
16723951;Software and its engineering
16730686;Human-centered computing
16733587;Software and its engineering
16741757;Software and its engineering
16754990;Human-centered computing
16770502;Software and its engineering
16782015;Human-centered computing
16792291;Software and its engineering
16798228;Applied computing
16834666;Software and its engineering
16837900;Software and its engineering
16846494;Software and its engineering
16904075;Software and its engineering
16949824;Software and its engineering
16988042;Software and its engineering
16988139;Applied computing
17009322;Human-centered computing
17020688;Software and its engineering
17021738;Networks
17036156;Human-centered computing
17038695;Human-centered computing
17059127;Information systems
17070556;Human-centered computing
17081302;Human-centered computing
17134485;Empty
17139019;Information systems
17143234;Empty
17169141;Information systems
17193964;Security and privacy
17251459;General and reference
17273246;Security and privacy
17296591;Information systems
17322266;Applied computing
17328893;Applied computing
17332041;Applied computing
17373284;Software and its engineering
17392942;Human-centered computing
17466008;General and reference
17466721;Information systems
17472048;Networks
17479978;Human-centered computing
17529102;Applied computing
17532093;Applied computing
17539972;Information systems
17593904;Human-centered computing
17629210;Hardware
17646483;Information systems
17648544;Software and its engineering
17664209;Applied computing
17708574;Human-centered computing
17746668;Software and its engineering
17753126;Software and its engineering
17784660;Empty
17785086;Software and its engineering
17830752;Information systems
17840201;Information systems
17865733;Software and its engineering
17867788;Software and its engineering
17879187;Software and its engineering
17921081;Software and its engineering
17922358;Software and its engineering
17924077;Information systems
17941398;Software and its engineering
17964103;Software and its engineering
17982139;Applied computing
17982701;Information systems
18006157;General and reference
18013712;Applied computing
18022219;Hardware
18026805;Software and its engineering
18028838;Security and privacy
18029648;Computing methodologies
18035907;Human-centered computing
18046266;Information systems
18054793;Information systems
18059452;Software and its engineering
18059812;Applied computing
18097224;Software and its engineering
18129978;Applied computing
18199108;Software and its engineering
18221297;Empty
18236982;Human-centered computing
18257960;Information systems
18258297;Empty
18260477;Information systems
18272904;General and reference
18290070;Applied computing
18313948;Human-centered computing
18355741;Information systems
18395213;Software and its engineering
18415473;Applied computing
18418200;Applied computing
18429672;Security and privacy
18461617;Applied computing
18469788;Human-centered computing
18498547;Software and its engineering
18507554;Security and privacy
18513548;Security and privacy
18552022;Software and its engineering
18623771;Empty
18646362;General and reference
18655199;Software and its engineering
18674058;Networks
18714651;Applied computing
18719465;Applied computing
18781956;Software and its engineering
18790667;General and reference
18810686;Software and its engineering
18821370;Software and its engineering
18822502;Computing methodologies
18847237;Software and its engineering
18869596;Software and its engineering
18903735;Software and its engineering
18904813;Software and its engineering
18937463;Applied computing
18993586;Human-centered computing
19010386;Applied computing
19018850;Empty
19047987;Software and its engineering
19085523;Information systems
19099635;Applied computing
19122404;Applied computing
19147330;Information systems
19153219;Information systems
19185130;Software and its engineering
19314846;Human-centered computing
19320997;Human-centered computing
19329970;Applied computing
19379132;Computer systems organization
19517346;Applied computing
19525779;Software and its engineering
19537063;Empty
19552315;Applied computing
19569279;Networks
19581764;Applied computing
19594347;Applied computing
19600642;Applied computing
19612571;Human-centered computing
19630614;Applied computing
19637265;Hardware
19641501;Information systems
19644716;Applied computing
19664730;General and reference
19685186;Networks
19689982;Software and its engineering
19696936;Applied computing
19710500;Software and its engineering
19717550;Applied computing
19755185;Mathematics of computation
19755702;Applied computing
19758699;General and reference
19761685;Human-centered computing
19790971;Software and its engineering
19820804;Software and its engineering
19823479;Software and its engineering
19936916;Software and its engineering
19943063;Information systems
20008478;Software and its engineering
20029138;Information systems
20029706;Applied computing
20030610;Applied computing
20064306;Empty
20104020;Applied computing
20138487;Applied computing
20163538;Information systems
20224741;Applied computing
20226295;Information systems
20265215;Software and its engineering
20285835;Software and its engineering
20311740;Not found
20349010;Security and privacy
20378057;Information systems
20390809;Applied computing
20398795;Hardware
20410311;General and reference
20425918;Information systems
20434473;General and reference
20435182;Software and its engineering
20450716;Human-centered computing
20450796;Software and its engineering
20465270;Applied computing
20508542;Information systems
20532547;General and reference
20532667;Software and its engineering
20634755;Empty
20637830;Information systems
20647545;Applied computing
20654502;Empty
20660971;Applied computing
20666664;Software and its engineering
20680088;Hardware
20682630;Software and its engineering
20737229;Applied computing
20752407;Software and its engineering
20754312;Software and its engineering
20769533;Applied computing
20774253;Software and its engineering
20835622;Information systems
20844574;Human-centered computing
20873386;Human-centered computing
20925694;Computer systems organization
20935792;Software and its engineering
20955762;Applied computing
21034797;Software and its engineering
21037532;Applied computing
21044484;Applied computing
21058198;Software and its engineering
21065369;Security and privacy
21125630;Software and its engineering
21174695;Information systems
21187110;Software and its engineering
21191867;Empty
21216818;Applied computing
21312489;General and reference
21341462;Applied computing
21358389;Software and its engineering
21378283;Empty
21448026;Human-centered computing
21582674;General and reference
21584862;Software and its engineering
21603107;Applied computing
21618029;Applied computing
21629316;General and reference
21640858;General and reference
21667956;Software and its engineering
21681863;Information systems
21700832;Applied computing
21719074;Information systems
21770593;Information systems
21784371;Applied computing
21864762;Information systems
21908633;Software and its engineering
21909651;Human-centered computing
21921763;Applied computing
21924858;Human-centered computing
21963930;Applied computing
21971963;Applied computing
21974766;Applied computing
21975229;Empty
22036307;General and reference
22041659;Applied computing
22042237;Applied computing
22045114;Applied computing
22046894;Information systems
22047350;Software and its engineering
22050640;Networks
22052042;Human-centered computing
22053634;Applied computing
22053762;Networks
22054830;Software and its engineering
22056425;Software and its engineering
22056630;Human-centered computing
22076087;Human-centered computing
22076833;Hardware
22077026;Information systems
22084327;Applied computing
22085827;Applied computing
22095887;Software and its engineering
22105376;Software and its engineering
22110826;General and reference
22116372;Software and its engineering
22123631;Applied computing
22141768;Information systems
22167327;Software and its engineering
22187814;Software and its engineering
22208853;Software and its engineering
22211488;Applied computing
22236354;Applied computing
22278515;Software and its engineering
22282240;Applied computing
22331562;General and reference
22402010;Information systems
22513118;Applied computing
22822302;Applied computing
22823126;Empty
22833631;Applied computing
22946554;Applied computing
22984128;Applied computing
23114966;Information systems
23115673;Information systems
23249012;Software and its engineering
23428045;General and reference
23458675;Human-centered computing
23465223;Software and its engineering
23471356;Information systems
23537807;Applied computing
23600597;Networks
23620520;General and reference
23769369;Human-centered computing
23775197;Software and its engineering
23918553;Applied computing
23924596;Applied computing
23961495;Information systems
23964055;Empty
24094301;Applied computing
24136448;General and reference
24177440;Applied computing
24240637;Applied computing
24265177;Software and its engineering
24272262;Software and its engineering
24283325;Information systems
24349402;Empty
24431405;Applied computing
24491126;Software and its engineering
24495953;Human-centered computing
24498221;Networks
24540619;Software and its engineering
24568290;Information systems
24618268;Applied computing
24663283;Applied computing
24729237;Hardware
24834266;Empty
24899862;Applied computing
24900752;Information systems
24908811;Networks
24919055;Software and its engineering
24938003;Applied computing
25004073;Applied computing
25032410;Software and its engineering
25037257;Networks
25037627;Human-centered computing
25040693;Applied computing
25045443;Software and its engineering
25051824;Software and its engineering
25070656;Information systems
25076502;Software and its engineering
25256022;Applied computing
25256938;Applied computing
25395643;Information systems
25440413;Information systems
25545538;Applied computing
25650073;General and reference
25672260;General and reference
25830758;Human-centered computing
25858715;Computing methodologies
25944077;Human-centered computing
25954906;Software and its engineering
25977484;Applied computing
26091726;Hardware
26108120;Information systems
26112145;Software and its engineering
26119533;Human-centered computing
26276834;Applied computing
26341053;Software and its engineering
26392840;Human-centered computing
26459676;Applied computing
26550795;Software and its engineering
26588971;Applied computing
26674333;Software and its engineering
26753555;Applied computing
26783304;Applied computing
26873823;Software and its engineering
26936537;Information systems
26961388;Software and its engineering
26965543;Human-centered computing
26974218;Empty
27051487;Applied computing
27147563;Networks
27232955;Applied computing
27299735;General and reference
27306008;Human-centered computing
27326987;General and reference
27345935;Applied computing
27375757;Software and its engineering
27406305;Applied computing
27406826;Empty
27422150;Empty
27428481;General and reference
27434109;Not found
27469596;Software and its engineering
27496559;Applied computing
27499427;Software and its engineering
27501293;Software and its engineering
27530962;Human-centered computing
27533386;Software and its engineering
27536536;Software and its engineering
27623476;Human-centered computing
27633284;Human-centered computing
27671937;Networks
27676276;Software and its engineering
27681681;Computing methodologies
27740539;General and reference
27747720;Software and its engineering
27751995;Empty
27777181;Human-centered computing
27852169;Empty
27859042;Information systems
27881432;Software and its engineering
27955513;Security and privacy
27977354;Human-centered computing
27980298;Human-centered computing
28033868;Human-centered computing
28085151;Software and its engineering
28117425;Computing methodologies
28119927;Empty
28139204;General and reference
28153902;Software and its engineering
28169699;Human-centered computing
28178404;Human-centered computing
28205753;Information systems
28317607;Human-centered computing
28338390;Software and its engineering
28357332;Computing methodologies
28376284;Information systems
28401052;Software and its engineering
28405382;Human-centered computing
28459924;Human-centered computing
28475997;Applied computing
28486256;Human-centered computing
28510906;Information systems
28552779;Not found
28581442;Applied computing
28592646;General and reference
28625357;Applied computing
28690670;General and reference
28717286;Applied computing
28754602;Applied computing
28758106;Information systems
28851599;Applied computing
28920533;Empty
28923864;Applied computing
28947710;Information systems
28952769;General and reference
28992266;Software and its engineering
29023113;Applied computing
29116788;Information systems
